Type de vêtements;Catégorie;Caractéristiques;Service;P.U
Chemise H/F;Vêtement adulte;Simple;Lavage et repassage; 1.000 
Chemise H/F;Vêtement adulte;Délicat;Lavage et repassage; 2.000 
Robe simple;Vêtement adulte;Simple;Lavage et repassage; 2.000 
Robe petit plis;Vêtement adulte;Délicat;Lavage et repassage; 3.000 
Robe plis laché;Vêtement adulte;Délicat;Lavage et repassage; 3.000 
Robe délicate / Soirée;Vêtement adulte;Délicat;Lavage et repassage; 5 000 
Robe de mariage;Vêtement adulte;Délicat;Lavage et repassage; 25.000 
Jupe simple;Vêtement adulte;Simple;Lavage et repassage; 2.000 
Jupe plisée;Vêtement adulte;Délicat;Lavage et repassage; 3.000 
Jupe délicate;Vêtement adulte;Délicat;Lavage et repassage; 4.000 
Pantalon H/F;Vêtement adulte;Simple;Lavage et repassage; 2.000 
Pantalon H/F;Vêtement adulte;Délicat;Lavage et repassage; 3.500 
Culotte H/F;Vêtement adulte;Simple;Lavage et repassage; 1.000 
Culotte H/F;Vêtement adulte;Délicat;Lavage et repassage; 2.000 
Costume H/F ;Vêtement adulte;Simple;Lavage et repassage; 5.000 
Costume H/F VIP;Vêtement adulte;Délicat;Lavage et repassage; 10.000 
Aube;Vêtement adulte;Simple;Lavage et repassage; 3.000 
Soutane / Toge;Vêtement adulte;Simple;Lavage et repassage; 5.000 
T-shirt;Vêtement adulte;Simple;Lavage et repassage; 1.000 
Etole;Vêtement adulte;Simple;Lavage et repassage; 2.000 
Ensemble simple H/F;Vêtement adulte;Simple;Lavage et repassage; 3.000 
Ensemble traditionnelle H/F;Vêtement adulte;Délicat;Lavage et repassage; 5.000 
Tunique;Vêtement adulte;Simple;Lavage et repassage; 2.000 
Tunique;Vêtement adulte;Délicat;Lavage et repassage; 3.000 
Basin 1P;Vêtement adulte;Délicat;Lavage et repassage; 1.000 
Basin 2-3P;Vêtement adulte;Délicat;Lavage et repassage; 3.000 
Boubou ;Vêtement adulte;Délicat;Lavage et repassage; 2.000 
Boubou 2-3p;Vêtement adulte;Délicat;Lavage et repassage; 5.000 
Blouse;Vêtement adulte;Simple;Lavage et repassage; 2.000 
Chaussettes;Vêtement adulte;simple;Lavage et repassage; 1.000 
Chaussures;Vêtement adulte;simple;Lavage et repassage; 5.000 
