Type de vêtements;Catégorie;Caractéristiques;Service;P.U;Service express
Chemise H/F;Vêtement adulte;Simple;Lavage et repassage;1000 ;2000
Chemise H/F;Vêtement adulte;Délicat;Lavage et repassage;2000 ;4000
Robe simple;Vêtement adulte;Simple;Lavage et repassage;2000 ;4000
Robe petit plis;Vêtement adulte;Délicat;Lavage et repassage;3000 ;6000
Robe plis laché;Vêtement adulte;Délicat;Lavage et repassage;3000 ;6000
Robe délicate / Soirée;Vêtement adulte;Délicat;Lavage et repassage;5000 ;10000
Robe de mariage;Vêtement adulte;Délicat;Lavage et repassage;25000 ;50000
Jupe simple;Vêtement adulte;Simple;Lavage et repassage;2000 ;4000
Jupe plisée;Vêtement adulte;Délicat;Lavage et repassage;3000 ;6000
Jupe délicate;Vêtement adulte;Délicat;Lavage et repassage;4000 ;8000
Pantalon H/F;Vêtement adulte;Simple;Lavage et repassage;1500 ;3000
Pantalon H/F;Vêtement adulte;Délicat;Lavage et repassage;3500 ;7000
Culotte H/F;Vêtement adulte;Simple;Lavage et repassage;1000 ;2000
Culotte H/F;Vêtement adulte;Délicat;Lavage et repassage;1500 ;3000
Veste vip;Vêtement adulte;Délicat;Lavage et repassage;5000 ;10000
Costume 3 pieces;Vêtement adulte;Délicat;Lavage et repassage;10000 ;20000
Costume 3 pieces;Vêtement adulte;Simple;Lavage et repassage;3500 ;7000
Veste;Vêtement adulte;Simple;Lavage et repassage;1500 ;3000
Costume H/F ;Vêtement adulte;Simple;Lavage et repassage;2500 ;5000
Costume H/F VIP;Vêtement adulte;Délicat;Lavage et repassage;10000 ;20000
Aube;Vêtement adulte;Simple;Lavage et repassage;3000 ;6000
Soutane / Toge;Vêtement adulte;Simple;Lavage et repassage;3000 ;6000
T-shirt;Vêtement adulte;Simple;Lavage et repassage;1000 ;2000
Etole;Vêtement adulte;Simple;Lavage et repassage;1500 ;3000
Ensemble simple H/F;Vêtement adulte;Simple;Lavage et repassage;3000 ;6000
Ensemble traditionnelle H/F;Vêtement adulte;Délicat;Lavage et repassage;5000 ;10000
Tunique;Vêtement adulte;Simple;Lavage et repassage;2000 ;4000
Tunique;Vêtement adulte;Délicat;Lavage et repassage;3000 ;6000
Basin 1P;Vêtement adulte;Délicat;Lavage et repassage;1000 ;2000
Basin 2-3P;Vêtement adulte;Délicat;Lavage et repassage;3000 ;6000
Boubou ;Vêtement adulte;Délicat;Lavage et repassage;2000 ;4000
Boubou 2-3p;Vêtement adulte;Délicat;Lavage et repassage;5000 ;10000
Blouse;Vêtement adulte;Simple;Lavage et repassage;2000 ;4000
Chaussettes;Vêtement adulte;simple;Lavage et repassage;1000 ;2000
Chaussures;Vêtement adulte;simple;Lavage et repassage;5000 ;10000
Pantalon;Vêtement adulte;simple;Lavage et repassage;2000 ;4000
Sous-vêtement;Vêtement adulte;Délicat;Lavage et repassage;1000 ;2000
Bonnet enf;Vêtement enfant et layette;Simple;Lavage et repassage;500 ;1000
